Date,precipMM,tempC
2015-01-01,0.0,-7.375
2015-01-02,0.0,-5.875
2015-01-03,0.0,-4.875
2015-01-04,1.3,-17.375
2015-01-05,0.30000000000000004,-14.625
2015-01-06,0.1,-14.125
2015-01-07,0.0,-19.25
2015-01-08,0.1,-12.0
2015-01-09,0.0,-15.0
2015-01-10,0.0,-8.875
2015-01-11,0.0,-8.25
2015-01-12,0.0,-14.375
2015-01-13,0.0,-14.5
2015-01-14,0.0,-8.625
2015-01-15,0.0,-4.125
2015-01-16,0.0,-0.375
2015-01-17,0.0,1.375
2015-01-18,0.0,-0.75
2015-01-19,0.0,1.5
2015-01-20,0.0,0.25
2015-01-21,0.0,-1.375
2015-01-22,0.0,-3.375
2015-01-23,0.0,-1.25
2015-01-24,0.5,0.875
2015-01-25,0.1,-0.375
2015-01-26,0.0,1.625
2015-01-27,0.0,1.5
2015-01-28,0.0,1.5
2015-01-29,0.0,-0.125
2015-01-30,0.0,-3.0
2015-01-31,0.8,0.5
2015-02-01,1.2000000000000002,-7.375
2015-02-02,0.0,-14.25
2015-02-03,0.0,-9.25
2015-02-04,0.2,-11.375
2015-02-05,0.0,-13.375
2015-02-06,0.0,-3.75
2015-02-07,0.0,2.0
2015-02-08,0.30000000000000004,1.0
2015-02-09,0.0,-2.875
2015-02-10,0.1,-1.5
2015-02-11,0.0,-4.5
2015-02-12,0.0,-13.25
2015-02-13,0.0,-5.125
2015-02-14,0.0,-10.375
2015-02-15,0.0,-13.75
2015-02-16,0.0,-8.5
2015-02-17,0.0,-9.5
2015-02-18,0.0,-15.75
2015-02-19,0.1,-14.625
2015-02-20,0.0,-7.0
2015-02-21,0.0,-5.875
2015-02-22,0.0,-14.75
2015-02-23,0.0,-13.875
2015-02-24,0.0,-4.0
2015-02-25,1.1,-7.625
2015-02-26,0.0,-18.0
2015-02-27,0.0,-17.625
2015-02-28,0.0,-13.25
2015-03-01,0.0,-8.125
2015-03-02,0.0,-7.875
2015-03-03,0.6000000000000001,-5.25
2015-03-04,0.0,-11.75
2015-03-05,0.0,-15.0
2015-03-06,0.0,-3.875
2015-03-07,0.0,0.75
2015-03-08,1.2,2.0
2015-03-09,0.0,5.0
2015-03-10,0.2,1.75
2015-03-11,0.4,0.875
2015-03-12,0.1,1.0
2015-03-13,0.1,2.625
2015-03-14,0.0,4.75
2015-03-15,0.2,4.25
2015-03-16,0.0,5.0
2015-03-17,0.1,6.0
2015-03-18,0.4,5.125
2015-03-19,0.1,6.0
2015-03-20,0.0,8.875
2015-03-21,0.0,7.0
2015-03-22,0.0,7.125
2015-03-23,0.0,2.625
2015-03-24,0.3,1.625
2015-03-25,0.0,2.875
2015-03-26,0.0,2.125
2015-03-27,0.0,-0.125
2015-03-28,0.2,3.125
2015-03-29,0.1,9.25
2015-03-30,0.0,13.5
2015-03-31,0.0,15.0
2015-04-01,0.0,19.25
2015-04-02,1.7,14.125
2015-04-03,0.0,5.0
2015-04-04,0.0,10.125
2015-04-05,0.0,13.625
2015-04-06,0.1,11.375
2015-04-07,2.1,8.25
2015-04-08,0.7,7.375
2015-04-09,3.5,6.625
2015-04-10,0.0,7.75
2015-04-11,0.0,12.75
2015-04-12,0.2,16.375
2015-04-13,1.7000000000000002,9.25
2015-04-14,1.7,8.75
2015-04-15,0.2,8.375
2015-04-16,0.0,14.5
2015-04-17,0.0,19.0
2015-04-18,6.0,17.375
2015-04-19,3.0,12.75
2015-04-20,0.0,8.25
2015-04-21,0.0,6.375
2015-04-22,0.0,6.25
2015-04-23,0.0,9.75
2015-04-24,2.0,12.5
2015-04-25,0.6,9.75
2015-04-26,0.0,10.625
2015-04-27,0.0,12.75
2015-04-28,0.8999999999999999,9.5
2015-04-29,0.0,15.0
2015-04-30,0.0,16.25
2015-05-01,0.2,14.5
2015-05-02,0.30000000000000004,18.25
2015-05-03,0.0,21.5
2015-05-04,1.0,18.125
2015-05-05,6.5,17.5
2015-05-06,2.8,19.25
2015-05-07,0.7,20.125
2015-05-08,0.0,14.625
2015-05-09,0.1,15.25
2015-05-10,1.3,17.25
2015-05-11,0.0,8.375
2015-05-12,0.0,11.25
2015-05-13,0.3,15.125
2015-05-14,5.5,13.375
2015-05-15,0.1,18.375
2015-05-16,0.8,20.625
2015-05-17,0.0,19.125
